时间,人群名称,人群类型,推广设备,产品线,计划,单元,展现数,点击数,点击率,总费用,千次展现成本,平均点击成本,总订单行,总订单金额,转化率,ROI,
20190604~20190626,冰箱核心人群（美海美菱容声西门子）,标签人群,无线,京东快车(搜索),【A+++】TG100V62ADS5_小天鹅洗衣机_单投,搜索无线,73432,9194,12.52%,34143.76,464.97,3.71,1657,4219619.93,18.02%,123.58,
20190604~20190626,近90天内购买所选种子的竞品品牌商品的人群,定向推荐人群,无线,京东快车(搜索),【A+++】TD100V86WMADY5_小天鹅洗衣机_单投,搜索无线,72786,6351,8.73%,25651.78,352.43,4.04,692,2240073.30,10.90%,87.33,
20190604~20190626,自定义-洗衣机top180SKU不扩展,标签人群,无线,京东快车(搜索),【A++++】TG80V20DG5_小天鹅洗衣机_单投,搜索无线,72480,9753,13.46%,23139.74,319.26,2.37,3229,8450478.00,33.11%,365.19,
20190604~20190626,冰箱意向人群（美海美菱容声西门子）,标签人群,无线,京东直投,,,71846,924,1.29%,364.60,5.07,0.39,-,-,-,-,
20190604~20190626,洗衣机品牌人群（海尔西门子博世三洋LG）,标签人群,无线,京东快车(搜索),【A+++】TD100V81WDG_小天鹅洗衣机_单投,搜索-无线,70897,8158,11.51%,27878.42,393.22,3.42,1346,3512189.00,16.50%,125.98,
20190604~20190626,冰箱意向人群（美海美菱容声西门子）,标签人群,无线,京东快车(搜索),【A+++】TD100V86WMADY5_小天鹅洗衣机_单投,搜索无线,69465,7278,10.48%,29400.61,423.24,4.04,817,2687726.00,11.23%,91.42,
20190604~20190626,洗衣机竞品包1（海尔+统帅+三洋）,标签人群,无线,京东快车(搜索),【A++】TB100V80WDCLG_小天鹅洗衣机_单投,搜索无线,68792,4955,7.20%,15168.40,220.50,3.06,899,2198238.00,18.14%,144.92,
20190604~20190626,洗衣机品牌人群（海尔西门子博世三洋LG）,标签人群,无线,京东快车(搜索),【A++】TB100V80WDCLG_小天鹅洗衣机_单投,搜索无线,68193,4971,7.29%,15256.72,223.73,3.07,905,2215632.00,18.21%,145.22,
20190604~20190626,洗衣机意向人群（海尔西门子TCL松下海信,标签人群,无线,京东快车(搜索),【A++】TD100V80WDX_小天鹅洗衣机_单投,搜索-无线,68043,6534,9.60%,22356.92,328.57,3.42,918,2214791.00,14.05%,99.07,
20190604~20190626,九数_618_波轮_类目内_高分段_无品牌倾向_0608,外部导入人群,无线,京东直投,,,67591,105,0.16%,271.65,4.02,2.59,2,1798.00,1.90%,6.62,
20190604~20190626,自定义-洗衣机top180SKU不扩展,标签人群,无线,京东直投,,,67583,1500,2.22%,780.02,11.54,0.52,15,20085.00,1.00%,25.75,
20190604~20190626,【新】TG100V62ADS5-竞品定向sku-5.5,新标签人群,无线,京东快车(搜索),【A+++】TG100V62ADS5_小天鹅洗衣机_单投,搜索无线,67060,10342,15.42%,38228.57,570.07,3.70,1294,2712998.50,12.51%,70.97,
20190604~20190626,自定义-行业10公斤洗烘,标签人群,无线,京东快车(搜索),【A+++】TD100V81WDG_小天鹅洗衣机_单投,搜索-无线,65672,11363,17.30%,36702.03,558.87,3.23,1746,4561967.83,15.37%,124.30,
20190604~20190626,近90天内购买所选种子的竞品品牌商品的人群,定向推荐人群,无线,京东快车(搜索),【A+++】TD100V81WDG_小天鹅洗衣机_单投,搜索-无线,62065,7068,11.39%,24173.25,389.48,3.42,1171,3053079.00,16.57%,126.30,
20190604~20190626,洗衣机品牌人群（海尔西门子博世三洋LG）,标签人群,无线,京东快车(搜索),【A++】TB80V80WDCLG_小天鹅洗衣机_单投,搜索无线,61374,5072,8.26%,14595.34,237.81,2.88,964,2026614.00,19.01%,138.85,
