时间,人群名称,人群类型,推广设备,产品线,计划,单元,展现数,点击数,点击率,总费用,千次展现成本,平均点击成本,总订单行,总订单金额,转化率,ROI,
20190604~20190626,默认购买人群,京选人群,无线,京东快车(搜索),秒杀计划,美的（Midea）_电磁炉,59208,5221,8.82%,4767.24,80.52,0.91,3516,3456168.30,67.34%,724.98,
20190604~20190626,默认浏览人群,京选人群,无线,京东快车(搜索),WBL2501C-瑞博_榨汁机/原汁机_单投,WBL2501C-端中,58870,5084,8.64%,13787.20,234.20,2.71,1002,276528.69,19.71%,20.06,
20190604~20190626,默认浏览人群,京选人群,无线,京东快车(搜索),YL50Easy505-瑞博_电压力锅_单投,YL50Easy505,58369,2920,5.00%,8290.42,142.03,2.84,344,144927.90,11.78%,17.48,
20190604~20190626,【新】近30天浏览电压力锅-1005,新标签人群,PC,京东快车(搜索),YL50Easy203-瑞博_电压力锅_单投,YL50Easy203-端中-PC,58303,1606,2.75%,3549.72,60.88,2.21,675,397396.75,42.03%,111.95,
20190604~20190626,自定义-电磁炉兴趣人群,标签人群,无线,京东快车(搜索),Star201-明辉-电磁炉_单投,Star201--明辉-搜索_单投,58207,3850,6.61%,6973.30,119.80,1.81,819,160239.25,21.27%,22.98,
20190604~20190626,【新】近30天电磁炉但半年未购买-1005,新标签人群,无线,京东快车(搜索),C22-WH2208-明辉-电磁炉_单投,C22-WH2208--明辉-搜索_单投,58123,3694,6.36%,8675.00,149.25,2.35,752,144379.54,20.36%,16.64,
20190604~20190626,默认浏览人群,京选人群,PC,京东快车(搜索),MB-FB40P518-明辉-电饭煲_单投,MB-FB40P518明辉--搜索-电饭煲_单投-,58051,566,0.98%,1383.31,23.83,2.44,156,124307.55,27.56%,89.86,
20190604~20190626,默认购买人群,京选人群,PC,京东快车(搜索),C22-E301-明辉-电磁炉_单投-copy,C22-E301--明辉-搜索_单投,57832,1012,1.75%,3219.35,55.67,3.18,249,863333.85,24.60%,268.17,
20190604~20190626,近30天内浏览所选种子商品的人群,定向推荐人群,无线,京东快车(搜索),WT2109-明辉-电磁炉_单投,WT2109--明辉-搜索_单投,57651,4018,6.97%,9540.77,165.49,2.37,1046,256175.09,26.03%,26.85,
20190604~20190626,【新】近3天搜索电压力锅-1018,新标签人群,无线,京东快车(搜索),WQH50C8-瑞博_电压力锅_单投,WQH50C8-端高,57528,3579,6.22%,5731.52,99.63,1.60,440,217523.00,12.29%,37.95,
20190604~20190626,自定义-电磁炉兴趣人群,标签人群,PC,京东快车(搜索),C22-E301-明辉-电磁炉_单投-copy,C22-E301--明辉-搜索_单投,57054,974,1.71%,3110.43,54.52,3.19,214,94776.85,21.97%,30.47,
20190604~20190626,默认浏览人群,京选人群,无线,京东快车(搜索),YL50Easy203-瑞博_电压力锅_单投,YL50Easy203-端中-特区,56754,7891,13.90%,17578.33,309.73,2.23,2549,1519230.36,32.30%,86.43,
20190604~20190626,自定义-电压力锅兴趣人群-1018,标签人群,无线,京东快车(搜索),WQH50C8-瑞博_电压力锅_单投,WQH50C8-端高,56718,4161,7.34%,7066.64,124.59,1.70,525,284089.70,12.62%,40.20,
20190604~20190626,【新】近7天浏览电水壶/热水瓶-1108,新标签人群,无线,京东快车(搜索),MK-SH06Simple101-瑞博_电水壶/热水瓶_单投,MK-SH06Simple101-端中,56684,2190,3.86%,6662.01,117.53,3.04,535,695908.46,24.43%,104.46,
20190604~20190626,【新】30天浏览美的电磁炉-1009,新标签人群,无线,京东快车(搜索),WT2109-明辉-电磁炉_单投,WT2109--明辉-搜索_单投,56683,3932,6.94%,9321.73,164.45,2.37,1017,243949.30,25.86%,26.17,
20190604~20190626,【新】近30天浏览电水壶/热水瓶-1005,新标签人群,PC,京东快车(搜索),WHJ1512e-瑞博_电水壶/热水瓶_单投,WHJ1512e-端低-HU-PC,56564,1526,2.70%,2727.75,48.22,1.79,448,280209.14,29.36%,102.73,
20190604~20190626,默认购买人群,京选人群,无线,京东快车(搜索),YL50Easy505-瑞博_电压力锅_单投,YL50Easy505,56122,2828,5.04%,7998.43,142.52,2.83,332,140319.00,11.74%,17.54,
20190604~20190626,默认购买人群,京选人群,无线,京东快车(搜索),WBL2501C-瑞博_榨汁机/原汁机_单投,WBL2501C-端中,56086,4915,8.76%,13311.81,237.35,2.71,968,273297.09,19.69%,20.53,
20190604~20190626,【新】近30天浏览电饭煲-1005,新标签人群,无线,品牌聚效,新品电饭煲518-京选店铺,APP,55944,5918,10.58%,9023.64,161.30,1.52,1160,345196.97,19.60%,38.25,
20190604~20190626,【新】近30天浏览苏泊尔电磁炉-1005,新标签人群,无线,京东快车(搜索),C22-E301-明辉-电磁炉_单投-copy,C22-E301--明辉-搜索_单投,55806,4147,7.43%,13133.73,235.35,3.17,915,309283.98,22.06%,23.55,
20190604~20190626,近30天内浏览所选种子商品的人群,定向推荐人群,无线,京东快车(搜索),MK-SH15Power508-瑞博_电水壶_单投,MK-SH15Power508-端中,55675,2822,5.07%,5803.22,104.23,2.06,601,188833.30,21.30%,32.54,
20190604~20190626,默认购买人群,京选人群,PC,京东快车(搜索),MB-FB40P518-明辉-电饭煲_单投,MB-FB40P518明辉--搜索-电饭煲_单投-,55667,550,0.99%,1336.21,24.00,2.43,155,124132.55,28.18%,92.90,
20190604~20190626,【新】近3天搜索电压力锅-1018,新标签人群,无线,京东快车(搜索),YL50Easy505-瑞博_电压力锅_单投,YL50Easy505,55528,2597,4.68%,7309.75,131.64,2.81,306,128782.20,11.78%,17.62,
