时间,人群名称,人群类型,推广设备,产品线,计划,单元,展现数,点击数,点击率,总费用,千次展现成本,平均点击成本,总订单行,总订单金额,转化率,ROI,
20190604~20190626,【新】加购洗碗机未购买,新标签人群,无线,京东快车(搜索),J1_洗碗机_单投,搜索-核心,1958,233,11.90%,917.05,468.36,3.94,11,29488.00,4.72%,32.16,
20190604~20190626,默认浏览人群,京选人群,无线,京东快车(搜索),D2_洗碗机_单投,搜索-核心,1917,153,7.98%,876.03,456.98,5.73,10,23783.00,6.54%,27.15,
20190604~20190626,近30天内加购、加关注所选种子商品的人群,定向推荐人群,PC,京东快车(搜索),Q1_洗碗机_单投,搜索-核心,1877,13,0.69%,68.63,36.56,5.28,2,1998.00,15.38%,29.11,
20190604~20190626,近30天内加购、加关注所选种子商品的人群,定向推荐人群,无线,京东快车(搜索),洗碗机_店铺,店铺_洗碗机,1866,74,3.97%,144.97,77.69,1.96,3,5697.00,4.05%,39.30,
20190604~20190626,【新】浏览店铺未购洗消,新标签人群,PC,京东快车(搜索),V1_洗碗机_单投,搜索-核心,1851,13,0.70%,72.27,39.04,5.56,-,-,-,-,
20190604~20190626,【新】浏览洗碗机竞品未购买,新标签人群,PC,京东快车(搜索),V1_洗碗机_单投,搜索-核心,1749,12,0.69%,55.96,32.00,4.66,-,-,-,-,
20190604~20190626,【新】购买厨卫未购买洗碗机,新标签人群,无线,京东快车(搜索),Q7_洗碗机_单投,搜索-核心,1744,180,10.32%,912.77,523.38,5.07,17,49083.00,9.44%,53.77,
20190604~20190626,近30天内加购、加关注所选种子商品的人群,定向推荐人群,无线,京东快车(搜索),V1_洗碗机_单投,搜索-核心,1566,180,11.49%,908.19,579.94,5.05,14,33286.00,7.78%,36.65,
20190604~20190626,近30天内加购、加关注所选种子商品的人群,定向推荐人群,PC,京东快车(搜索),V1_洗碗机_单投,搜索-核心,1421,7,0.49%,31.19,21.95,4.46,5,11395.00,71.43%,365.34,
20190604~20190626,【新】浏览/加购未购买-洗碗机,新标签人群,无线,京东快车(搜索),D2_洗碗机_单投,搜索-核心,1408,70,4.97%,435.56,309.35,6.22,2,4498.00,2.86%,10.33,
20190604~20190626,【新】关注洗碗机未购买,新标签人群,无线,品牌聚效,京选店铺_洗碗机,洗碗机店铺,1381,214,15.50%,532.50,385.59,2.49,16,42912.00,7.48%,80.59,
20190604~20190626,【新】加购洗碗机未购买,新标签人群,PC,京东快车(搜索),D2_洗碗机_单投,搜索-核心,1355,1,0.07%,1.77,1.31,1.77,-,-,-,-,
