时间,人群名称,人群类型,推广设备,产品线,计划,单元,展现数,点击数,点击率,总费用,千次展现成本,平均点击成本,总订单行,总订单金额,转化率,ROI,
20190604~20190626,【新】618大促京东快车广告再营销人群,京选人群,无线,品牌聚效,6月份聚效-蒸箱,再营销广告人群,1061678,3786,0.36%,60931.27,57.39,16.09,14,2330.00,0.37%,0.04,
20190604~20190626,智能定向人群-视觉定向,智能定向,无线,京东直投,,,646102,3646,0.56%,3705.99,5.74,1.02,7,9997.00,0.19%,2.70,
20190604~20190626,智能定向人群-视觉定向,智能定向,无线,京东直投,,,531218,2845,0.54%,2963.74,5.58,1.04,6,3923.00,0.21%,1.32,
20190604~20190626,【新】美的厨电自营店铺近30天浏览或加购未购微波炉烤箱,新标签人群,无线,品牌聚效,6月份聚效-厨小,店铺30天浏览或加购未购,493119,4445,0.90%,33590.73,68.12,7.56,628,163369.40,14.13%,4.86,
20190604~20190626,智能定向人群-视觉定向,智能定向,无线,京东直投,,,473918,2813,0.59%,2952.10,6.23,1.05,-,-,-,-,
20190604~20190626,【新】近30天浏览竞品蒸箱未购蒸箱,新标签人群,无线,品牌聚效,6月份聚效-蒸箱,竞品蒸箱,470045,4735,1.01%,79270.24,168.64,16.74,639,520340.00,13.50%,6.56,
20190604~20190626,智能定向人群-视觉定向,智能定向,无线,京东直投,,,435564,2180,0.50%,2801.01,6.43,1.28,2,347.00,0.09%,0.12,
20190604~20190626,智能定向人群-视觉定向,智能定向,无线,京东直投,,,425850,2315,0.54%,2602.41,6.11,1.12,-,-,-,-,
20190604~20190626,智能定向人群-视觉定向,智能定向,无线,京东直投,,,252603,1336,0.53%,1723.64,6.82,1.29,4,7998.00,0.30%,4.64,
20190604~20190626,智能定向人群-视觉定向,智能定向,无线,京东直投,,,236115,1235,0.52%,1274.05,5.40,1.03,4,1213.00,0.32%,0.95,
20190604~20190626,【新】近30天浏览竞品微波炉未购微波炉（未浏览美的微波炉）,新标签人群,无线,品牌聚效,6月份聚效-厨小,微波炉近30天竞品浏览未购微波炉,202358,1415,0.70%,18577.58,91.81,13.13,66,19613.00,4.66%,1.06,
20190604~20190626,智能定向人群-视觉定向,智能定向,无线,京东直投,,,197968,949,0.48%,1016.17,5.13,1.07,4,927.00,0.42%,0.91,
20190604~20190626,【新】美的蒸箱top200近30天浏览或加购未购蒸箱微烤,新标签人群,无线,品牌聚效,6月份聚效-蒸箱,美的蒸箱活动页,182404,3144,1.72%,29922.73,164.05,9.52,1044,1662519.00,33.21%,55.56,
