时间,人群名称,人群类型,推广设备,产品线,计划,单元,展现数,点击数,点击率,总费用,千次展现成本,平均点击成本,总订单行,总订单金额,转化率,ROI,
20190604~20190626,热水器核心人群（美的海尔林内）,标签人群,无线,京东快车(搜索),【A+++】MD100V31DG5_美的洗衣机_单投,【搜索】-无线,17371,1891,10.89%,7939.02,457.03,4.20,293,797145.60,15.49%,100.41,
20190604~20190626,热水器核心人群（万家乐统帅志高奥特朗）,标签人群,无线,京东直投,,,17343,349,2.01%,139.37,8.04,0.40,-,-,-,-,
20190604~20190626,热水器核心人群（美的海尔林内）,标签人群,无线,京东快车(搜索),【A+】MB100V50QC_美的洗衣机_单投,【搜索】无线,17173,885,5.15%,2765.22,161.02,3.12,656,2924717.10,74.12%,1057.68,
20190604~20190626,洗衣机核心人群（海尔西门子博世三洋LG）,标签人群,无线,京东快车(搜索),【A+++】MB90VN13_美的洗衣机_单投,【搜索】无线,17137,1178,6.87%,5753.49,335.73,4.88,156,171005.00,13.24%,29.72,
20190604~20190626,自定义-洗衣机top180机型不扩展,标签人群,PC,京东快车(搜索),【A+】MB100VJ31D_美的洗衣机_单投,【搜索】PC,17076,163,0.95%,430.77,25.23,2.64,23,41089.00,14.11%,95.39,
20190604~20190626,洗衣机意向人群（海尔西门子TCL松下海信,标签人群,PC,京东快车(搜索),【A+】MB100VJ31D_美的洗衣机_单投,【搜索】PC,17007,150,0.88%,402.51,23.67,2.68,23,42489.00,15.33%,105.56,
20190604~20190626,九数_618_滚筒_类目内_高分段_无品牌倾向_0611,外部导入人群,无线,品牌聚效,12月计划_美的洗衣机,无线首焦-美的品牌人群,16517,65,0.39%,1044.16,63.22,16.06,4,6796.00,6.15%,6.51,
20190604~20190626,自定义-美的热水器3个月已购人群,标签人群,无线,京东快车(搜索),【A+】MB100VJ31D_美的洗衣机_单投,【搜索】无线,16426,1116,6.79%,4210.60,256.34,3.77,851,2654972.50,76.25%,630.54,
20190604~20190626,洗衣机品牌人群（美的+小天鹅）,标签人群,无线,京东直投,,,16131,348,2.16%,109.19,6.77,0.31,-,-,-,-,
20190604~20190626,自定义-美的洗衣机近3个月已购人群,标签人群,无线,京东直投,,,15970,204,1.28%,64.68,4.05,0.32,-,-,-,-,
