时间,人群名称,人群类型,推广设备,产品线,计划,单元,展现数,点击数,点击率,总费用,千次展现成本,平均点击成本,总订单行,总订单金额,转化率,ROI,
20190604~20190626,九数_20190607_燃热_618跨品_干预组,外部导入人群,无线,京东快车(搜索),燃热-JSQ25-DL3 _燃气热水器,搜索-APP,46,7,15.22%,38.45,835.87,5.49,3,2997.00,42.86%,77.95,
20190604~20190626,九数_20190606_电热_618跨品_对照组,外部导入人群,无线,京东快车(搜索),燃热-JSQ25-DL3 _燃气热水器,搜索-APP,46,7,15.22%,40.20,873.91,5.74,1,999.00,14.29%,24.85,
20190604~20190626,【新】净水-浏览2500-4500竞品价位段,新标签人群,PC,京东快车(搜索),净水器-(X400S)MRC1686A-400_净水器_单投,搜索-(X400S)-APP,46,1,2.17%,0.10,2.17,0.10,-,-,-,-,
20190604~20190626,九数_20190607_电热_618跨品_干预组,外部导入人群,无线,京东快车(搜索),电热-F6030-A7S_电热水器_单投,搜索-APP-正常,46,5,10.87%,24.13,524.57,4.83,2,2398.00,40.00%,99.38,
20190604~20190626,【新】电热-1.5-2k价位段浏览,新标签人群,PC,京东快车(搜索),电热-F6030-A7S_电热水器_单投,搜索-APP-正常,45,2,4.44%,0.75,16.67,0.38,-,-,-,-,
20190604~20190626,电热-竞品加购-史密斯,新标签人群,无线,京东快车(搜索),电热-F6030-A10(升级)_电热水器_单投,搜索-F6030-A10(升级)-APP,45,4,8.89%,28.93,642.89,7.23,-,-,-,-,
20190604~20190626,九数_20190616_电热_618跨品_对照组,外部导入人群,PC,京东快车(搜索),燃热-JSQ27-WD7_燃气热水器_单投,搜索-APP-正常,45,6,13.33%,10.29,228.67,1.72,2,3298.00,33.33%,320.51,
20190604~20190626,九数_20190619_燃热_618跨品_干预组,外部导入人群,PC,京东快车(搜索),燃热-JSQ27-WD7_燃气热水器_单投,搜索-APP-正常,43,1,2.33%,1.01,23.49,1.01,-,-,-,-,
20190604~20190626,九数_20190610_燃热_618跨品_干预组,外部导入人群,PC,京东快车(搜索),燃热-JSQ27-WD7_燃气热水器_单投,搜索-APP-正常,41,2,4.88%,3.74,91.22,1.87,-,-,-,-,
20190604~20190626,九数618_电热_类目_高分_1.5k_2k_0616,外部导入人群,PC,京东快车(搜索),电热-F6030-A9_电热水器_单投,搜索-F6030-A9-APP,40,2,5.00%,5.63,140.75,2.82,10,11777.00,500.00%,2091.83,
20190604~20190626,燃热-浏览2000-3000竞品价位段,新标签人群,PC,京东快车(搜索),燃热-JSQ27-WD7_燃气热水器_单投,搜索-APP-正常,40,2,5.00%,3.32,83.00,1.66,-,-,-,-,
20190604~20190626,九数618_电热_类目_高分_1.5k_2k_0618,外部导入人群,PC,京东快车(搜索),电热-F6030-A7S_电热水器_单投,搜索-APP-正常,39,1,2.56%,0.42,10.77,0.42,-,-,-,-,
20190604~20190626,九数_20190605_燃热_618跨品_干预组,外部导入人群,无线,京东快车(搜索),燃热-JSQ25-DL3 _燃气热水器,搜索-APP,37,1,2.70%,8.32,224.86,8.32,1,999.00,100.00%,120.07,
20190604~20190626,九数_618_电热_类目内_高分段_无品牌倾向_0605,外部导入人群,无线,京东直投,,,37,-,-,-,-,-,-,-,-,-,
20190604~20190626,燃热-加购2000-3000竞品价位段,新标签人群,无线,京东快车(搜索),燃热-JSQ30-G3S_燃气热水器_单投,搜索-卡位-APP-11-12,37,7,18.92%,66.33,1792.70,9.48,2,2498.00,28.57%,37.66,
20190604~20190626,【新】热水器-Top100竞品浏览未购,新标签人群,无线,京东直投,,,37,-,-,-,-,-,-,-,-,-,
20190604~20190626,电热-竞品搜索-史密斯,新标签人群,无线,京东快车(搜索),电热-F6030-A10(升级)_电热水器_单投,搜索-F6030-A10(升级)-APP,36,-,-,-,-,-,-,-,-,-,
20190604~20190626,九数_20190608_燃热_618跨品_对照组,外部导入人群,无线,京东快车(搜索),燃热-JSQ25-DL3 _燃气热水器,搜索-APP,36,8,22.22%,48.08,1335.56,6.01,5,4995.00,62.50%,103.89,
20190604~20190626,九数_20190605_燃热_618跨品_对照组,外部导入人群,无线,京东快车(搜索),燃热-JSQ25-DL3 _燃气热水器,搜索-APP,34,1,2.94%,3.57,105.00,3.57,-,-,-,-,
20190604~20190626,智能定向人群-视觉定向,智能定向,无线,京东直投,,,34,-,-,-,-,-,-,-,-,-,
20190604~20190626,九数_20190610_燃热_618跨品_对照组,外部导入人群,PC,京东快车(搜索),燃热-JSQ27-WD7_燃气热水器_单投,搜索-APP-正常,34,1,2.94%,1.88,55.29,1.88,-,-,-,-,
20190604~20190626,燃热-加购2000-3000竞品价位段,新标签人群,无线,京东快车(搜索),燃热-JSQ30-HT5_燃气热水器_单投,搜索--电脑区域,34,6,17.65%,17.67,519.71,2.95,2,3798.00,33.33%,214.94,
20190604~20190626,九数_20190608_燃热_618跨品_干预组_,外部导入人群,无线,京东快车(搜索),燃热-JSQ25-DL3 _燃气热水器,搜索-APP,34,2,5.88%,8.82,259.41,4.41,-,-,-,-,
20190604~20190626,九数618_电热_类目_高分_无品牌倾向_0619,外部导入人群,PC,京东快车(搜索),电热-F6030-A7S_电热水器_单投,搜索-APP-正常,31,4,12.90%,3.04,98.06,0.76,-,-,-,-,
20190604~20190626,九数_20190608_燃热_618跨品_对照组,外部导入人群,无线,京东快车(搜索),燃热-JSQ27-WD7_燃气热水器_单投,搜索-APP-正常,31,1,3.23%,1.63,52.58,1.63,-,-,-,-,
20190604~20190626,九数_618_电热__类目内_高分段_无品牌倾向,外部导入人群,无线,京东直投,,,30,-,-,-,-,-,-,-,-,-,
20190604~20190626,九数_618_电热_类目内_高分段_无品牌倾向_0606,外部导入人群,无线,京东快车(搜索),燃热-JSQ25-DL3 _燃气热水器,搜索-APP,30,3,10.00%,16.99,566.33,5.66,-,-,-,-,
20190604~20190626,饮水-30天茶吧机搜索未购人群,新标签人群,PC,京东快车(搜索),饮水-YR1623S-X小_饮水机_单投,搜索-YR1623S-X小-app,30,-,-,-,-,-,-,-,-,-,
20190604~20190626,九数618_电热_类目_高分_1.5k_2k_0616,外部导入人群,PC,京东快车(搜索),电热-F6030-A7S_电热水器_单投,搜索-APP-正常,29,1,3.45%,1.24,42.76,1.24,1,1899.00,100.00%,1531.45,
20190604~20190626,【新】钻石会员+高级白领,新标签人群,PC,京东快车(搜索),饮水-(JT100)JR1857S-NF_饮水机_单投,搜索-(JT100)-APP,29,3,10.34%,0.52,17.93,0.17,-,-,-,-,
20190604~20190626,九数_20190619_电热_618跨品_对照组,外部导入人群,PC,京东快车(搜索),电热-F6030-A7S_电热水器_单投,搜索-APP-正常,29,1,3.45%,1.23,42.41,1.23,-,-,-,-,
20190604~20190626,电热-浏览2000-3000竞品价位段,新标签人群,PC,京东快车(搜索),电热-F6030-A9_电热水器_单投,搜索-F6030-A9-APP,29,-,-,-,-,-,-,-,-,-,
20190604~20190626,近30天内加购、加关注所选种子商品的人群,定向推荐人群,PC,京东快车(搜索),比佛利JSQ30-W2_燃气热水器_单投,搜索-JSQ30-W2-APP,29,2,6.90%,5.44,187.59,2.72,-,-,-,-,
20190604~20190626,九数_618_饮水_类目内_高分段_1.5k_3k_0606,外部导入人群,PC,京东快车(搜索),饮水-(JT100)JR1857S-NF_饮水机_单投,搜索-APP-区域,29,-,-,-,-,-,-,-,-,-,
20190604~20190626,【新】饮水-1500以上竞品浏览-净饮,新标签人群,PC,京东快车(搜索),饮水-(JT100)JR1857S-NF_饮水机_单投,搜索-(JT100)-APP,28,2,7.14%,0.49,17.50,0.25,1,329.00,50.00%,671.43,
20190604~20190626,九数_618_燃热_类目内_高分段_无品牌倾向_0610,外部导入人群,无线,京东快车(搜索),燃热-JSQ25-DL3 _燃气热水器,搜索-APP,28,4,14.29%,20.51,732.50,5.13,-,-,-,-,
20190604~20190626,【新】企业用户,新标签人群,PC,京东快车(搜索),饮水-(JT100)JR1857S-NF_饮水机_单投,搜索-APP-长尾核心,28,-,-,-,-,-,-,-,-,-,
20190604~20190626,九数618_电热_类目_高分_无品牌倾向_0615,外部导入人群,PC,京东快车(搜索),电热-F6030-A7S_电热水器_单投,搜索-APP-正常,27,1,3.70%,1.41,52.22,1.41,-,-,-,-,
20190604~20190626,九数618_电热_类目_高分_无品牌倾向_0618,外部导入人群,PC,京东快车(搜索),电热-F6030-A7S_电热水器_单投,搜索-APP-正常,26,-,-,-,-,-,-,-,-,-,
20190604~20190626,九数_20190617_燃热_618跨品_对照组,外部导入人群,PC,京东快车(搜索),燃热-JSQ27-WD7_燃气热水器_单投,搜索-APP-正常,25,2,8.00%,2.57,102.80,1.29,-,-,-,-,
