时间,人群名称,人群类型,推广设备,产品线,计划,单元,展现数,点击数,点击率,总费用,千次展现成本,平均点击成本,总订单行,总订单金额,转化率,ROI
20190604~20190626,【新】品类7天浏览未购0消毒柜,新标签人群,无线,京东快车(搜索),110Q37_消毒柜_单投,搜索0无线,41567,3667,8.82%,14111.44,339.49,3.85,268,303937,7.31%,21.54
20190604~20190626,【新】消毒柜搜索未购0类目,新标签人群,无线,京东快车(搜索),100G01_消毒柜_单投,搜索0无线,41402,1763,4.26%,6823.32,164.81,3.87,97,74906,5.50%,10.98
20190604~20190626,【新】品类7天浏览未购0油烟机,新标签人群,PC,京东快车(搜索),J18+Q216B0T_烟灶套装_单投,搜索0PC,41372,421,1.02%,2133.89,51.58,5.07,46,37968,10.93%,17.79
20190604~20190626,【新】品类7天浏览未购0油烟机,新标签人群,无线,京东直投,,,41250,536,1.30%,417.68,10.13,0.78,12,9525,2.24%,22.8
20190604~20190626,【新】品类7天浏览未购0油烟机,新标签人群,无线,京东快车(搜索),J59C+Q390T_烟灶套装_单投,核心词0无线,41119,3056,7.43%,17657.85,429.43,5.78,200,231578,6.54%,13.11
20190604~20190626,【新】油烟机搜索未购0类目,新标签人群,无线,京东快车(搜索),J57_油烟机_单投,搜索0核心0无线,41033,2290,5.58%,12882.83,313.96,5.63,157,161545,6.86%,12.54
20190604~20190626,【新】竞品品牌浏览未购0燃气灶,新标签人群,无线,京东快车(搜索),Q216B_燃气灶_单投,搜索0无线,41019,6864,16.73%,20616.03,502.6,3,501,277195.52,7.30%,13.45
20190604~20190626,【新】油烟机入口top单品浏览未购,新标签人群,无线,京东快车(搜索),T33P_油烟机_单投,搜索0核心0无线,40877,2752,6.73%,13410.08,328.06,4.87,210,218444.5,7.63%,16.29
20190604~20190626,【新】再营销0油烟机点击未购买,新标签人群,无线,京东快车(搜索),T36+Q390T_烟灶套装_单投,搜索0核心词0无线,40365,5685,14.08%,61275.66,1518.04,10.78,738,874279.49,12.98%,14.27
20190604~20190626,默认浏览人群,京选人群,PC,京东快车(搜索),J58_油烟机_单投,搜索0PC,39771,160,0.40%,734.9,18.48,4.59,31,34731,19.38%,47.26
20190604~20190626,【新】品类7天浏览未购0油烟机,新标签人群,无线,京东快车(搜索),J58_油烟机_单投,搜索0核心0无线,39688,2129,5.36%,11741.01,295.83,5.51,130,137765.5,6.11%,11.73
20190604~20190626,【新】品牌浏览+品类未购0油烟机,新标签人群,PC,京东快车(搜索),J30+Q216B0T_烟灶套装_单投,搜索0PC,39562,1222,3.09%,5020.13,126.89,4.11,233,190880,19.07%,38.02
20190604~20190626,默认浏览人群,京选人群,PC,京东快车(搜索),J57_油烟机_单投,搜索0PC,39436,732,1.86%,2681.08,67.99,3.66,75,113602.35,10.25%,42.37
