时间,人群名称,人群类型,推广设备,产品线,计划,单元,展现数,点击数,点击率,总费用,千次展现成本,平均点击成本,总订单行,总订单金额,转化率,ROI
20190604~20190626,【新】美的品牌浏览未购0油烟机,新标签人群,PC,京东快车(搜索),J58_油烟机_单投,搜索0PC,16942,98,0.58%,441.28,26.05,4.5,28,32382,28.57%,73.38
20190604~20190626,【新】618大促高潜人群,京选人群,无线,京东快车(搜索),秒杀计划,美的（Midea）_油烟机,16904,1086,6.42%,3891.7,230.22,3.58,158,175351.6,14.55%,45.06
20190604~20190626,【新】品类7天浏览未购0消毒柜,新标签人群,PC,京东快车(搜索),100Q33_消毒柜_单投,搜索0PC,16724,550,3.29%,1402.98,83.89,2.55,107,110989.08,19.45%,79.11
20190604~20190626,【新】品牌浏览+品类未购0燃气灶,新标签人群,PC,京东快车(搜索),Q35_燃气灶_单投,搜索0PC,16668,338,2.03%,1260.83,75.64,3.73,30,22263,8.88%,17.66
20190604~20190626,【新】美的品牌浏览未购0消毒柜,新标签人群,PC,京东快车(搜索),80K03_消毒柜_单投,搜索0PC,16585,64,0.39%,208.3,12.56,3.25,15,8285,23.44%,39.77
20190604~20190626,【新】竞品低端品牌浏览未购0油烟机,新标签人群,无线,京东快车(搜索),J58_油烟机_单投,搜索0核心0无线,16409,846,5.16%,4776,291.06,5.65,41,39624,4.85%,8.3
20190604~20190626,【新】竞品高端品牌浏览未购0油烟机,新标签人群,无线,京东快车(搜索),J57_油烟机_单投,搜索0核心0无线,16367,1301,7.95%,7126.11,435.4,5.48,75,72459,5.76%,10.17
20190604~20190626,【新】竞品高端品牌浏览未购0油烟机,新标签人群,PC,京东快车(搜索),T36_油烟机_单投,搜索0PC,16160,104,0.64%,444.8,27.52,4.28,8,9932,7.69%,22.33
20190604~20190626,【新】烟灶套装入口top单品浏览未购,新标签人群,PC,京东快车(搜索),J18_油烟机_单投,搜索0PC,15981,142,0.89%,603.13,37.74,4.25,13,11658,9.15%,19.33
20190604~20190626,【新】燃气灶搜索未购0类目,新标签人群,PC,京东快车(搜索),Q39_燃气灶_单投,搜索0PC,15818,205,1.30%,675.37,42.7,3.29,25,14345.1,12.20%,21.24
20190604~20190626,【新】品类7天浏览未购0油烟机,新标签人群,PC,京东快车(搜索),J58+Q390T_烟灶套装_单投,搜索0长尾词,15743,186,1.18%,1092.9,69.42,5.88,26,36403,13.98%,33.31
20190604~20190626,【新】油烟机搜索未购0类目,新标签人群,PC,京东快车(搜索),J58+Q390T_烟灶套装_单投,搜索0PC,15705,132,0.84%,578.98,36.87,4.39,5,8696,3.79%,15.02
20190604~20190626,默认浏览人群,京选人群,无线,京东快车(搜索),J57_油烟机_单投,搜索0长尾,15612,1119,7.17%,7288.03,466.82,6.51,98,113716.5,8.76%,15.6
20190604~20190626,【新】竞品低端品牌浏览未购0油烟机,新标签人群,无线,京东快车(搜索),J57_油烟机_单投,搜索0核心0无线,15327,1028,6.71%,5669.5,369.9,5.52,59,59187,5.74%,10.44
20190604~20190626,默认拉新人群,京选人群,无线,京东直投,,,15257,54,0.35%,104.51,6.85,1.94,0,0,0,0
20190604~20190626,【新】烟灶套装入口top单品浏览未购,新标签人群,无线,京东快车(搜索),J57_油烟机_单投,搜索0核心0无线,15106,1195,7.91%,6433.63,425.9,5.38,89,84310,7.45%,13.1
20190604~20190626,【新】美的品牌浏览未购0燃气灶,新标签人群,无线,品牌聚效,6月京选店铺_厨大,京选店铺_厨大,15048,896,5.95%,3277.97,217.83,3.66,143,128795,15.96%,39.29
20190604~20190626,【新】燃气灶搜索未购0关键词,新标签人群,PC,京东快车(搜索),Q39_燃气灶_单投,搜索0PC,14991,170,1.13%,568.12,37.9,3.34,25,17342.1,14.71%,30.53
20190604~20190626,默认浏览人群,京选人群,无线,京东快车(搜索),J57+Q390T_烟灶套装_单投,搜索0核心词0无线,14974,1162,7.76%,6217.98,415.25,5.35,257,290881.04,22.12%,46.78
20190604~20190626,【新】品类7天浏览未购0燃气灶,新标签人群,无线,京东快车(搜索),腰部广告_厨大,烟灶消店铺,14837,417,2.81%,1904.03,128.33,4.57,27,23325,6.47%,12.25
20190604~20190626,【新】油烟机搜索未购0类目,新标签人群,无线,京东快车(搜索),J57_油烟机_单投,搜索0长尾,14746,876,5.94%,5668.2,384.39,6.47,55,68521.5,6.28%,12.09
20190604~20190626,【新】烟灶消店铺浏览未购,新标签人群,无线,京东快车(搜索),腰部广告_厨大,烟灶消店铺,14497,737,5.08%,3530.66,243.54,4.79,84,54123,11.40%,15.33
20190604~20190626,【新】品类7天浏览未购0燃气灶,新标签人群,PC,京东快车(搜索),Q39_燃气灶_单投,搜索0PC,14458,213,1.47%,709.12,49.05,3.33,32,22140.1,15.02%,31.22
20190604~20190626,【新】消毒柜嵌入式入口Top单品浏览未购,新标签人群,PC,京东快车(搜索),80K03_消毒柜_单投,搜索0PC,14445,35,0.24%,128.32,8.88,3.67,7,4433,20.00%,34.55
20190604~20190626,【新】竞品高端品牌浏览未购0油烟机,新标签人群,PC,京东快车(搜索),J58_油烟机_单投,搜索0PC,14331,72,0.50%,346.25,24.16,4.81,12,13192,16.67%,38.1
20190604~20190626,默认浏览人群,京选人群,无线,京东快车(搜索),J18_油烟机_单投,搜索0长尾,14286,1140,7.98%,5782.82,404.79,5.07,104,105230.5,9.12%,18.2
20190604~20190626,【新】再营销0油烟机点击未购买,新标签人群,无线,京东快车(搜索),J57+Q390T_烟灶套装_单投,搜索0核心词0无线,14214,1876,13.20%,11716.87,824.32,6.25,199,242207,10.61%,20.67
20190604~20190626,【新】竞品低端品牌浏览未购0油烟机,新标签人群,PC,京东快车(搜索),J18_油烟机_单投,搜索0PC,14164,142,1.00%,601.36,42.46,4.23,11,9990,7.75%,16.61
20190604~20190626,默认浏览人群,京选人群,无线,京东快车(搜索),J18+Q216B0T_烟灶套装_单投,搜索0无线,14071,1239,8.81%,5073.43,360.56,4.09,321,368851.57,25.91%,72.7
20190604~20190626,【新】品牌浏览+品类未购0消毒柜,新标签人群,PC,京东快车(搜索),100Q33_消毒柜_单投,搜索0PC,14063,463,3.29%,1169.06,83.13,2.52,93,97702.08,20.09%,83.57
20190604~20190626,【新】油烟机入口top单品浏览未购,新标签人群,PC,京东快车(搜索),T33P_油烟机_单投,搜索0PC,14048,135,0.96%,555.84,39.57,4.12,10,10790,7.41%,19.41
20190604~20190626,【新】燃气灶入口Top单品浏览未购买,新标签人群,PC,京东快车(搜索),Q35_燃气灶_单投,搜索0PC,13882,297,2.14%,1160.96,83.63,3.91,23,16290,7.74%,14.03
20190604~20190626,【新】竞品高端品牌浏览未购0油烟机,新标签人群,PC,京东快车(搜索),J57_油烟机_单投,搜索0PC,13845,255,1.84%,1065.29,76.94,4.18,15,21491,5.88%,20.17
20190604~20190626,【新】烟灶套装入口top单品浏览未购,新标签人群,PC,京东快车(搜索),T36_油烟机_单投,搜索0PC,13598,78,0.57%,361.27,26.57,4.63,8,9932,10.26%,27.49
20190604~20190626,【新】油烟机搜索未购0类目,新标签人群,无线,京东快车(搜索),J18_油烟机_单投,搜索0长尾,13479,934,6.93%,4788.45,355.25,5.13,74,72184,7.92%,15.07
20190604~20190626,【新】品牌浏览+品类未购0油烟机,新标签人群,PC,京东快车(搜索),J58+Q390T_烟灶套装_单投,搜索0长尾词,13317,165,1.24%,975.24,73.23,5.91,24,34604,14.55%,35.48
20190604~20190626,【新】品类7天浏览未购0油烟机,新标签人群,PC,京东快车(搜索),J59C+Q390T_烟灶套装_单投,搜索0PC,13085,117,0.89%,471.01,36,4.03,8,10814,6.84%,22.96
20190604~20190626,【新】品类7天浏览未购0油烟机,新标签人群,无线,京东快车(搜索),J57_油烟机_单投,搜索0长尾,13016,914,7.02%,5971.43,458.78,6.53,63,76796.5,6.89%,12.86
20190604~20190626,【新】油烟机搜索未购0类目,新标签人群,无线,京东快车(搜索),J57+Q390T_烟灶套装_单投,搜索0核心词0无线,12693,251,1.98%,1425.89,112.34,5.68,6,5796,2.39%,4.06
20190604~20190626,【新】烟灶套装入口top单品浏览未购,新标签人群,PC,京东快车(搜索),J57_油烟机_单投,搜索0PC,12414,255,2.05%,959.88,77.32,3.76,17,18871,6.67%,19.66
20190604~20190626,【新】烟灶套装入口top单品浏览未购,新标签人群,PC,京东快车(搜索),J58_油烟机_单投,搜索0PC,12393,69,0.56%,320.89,25.89,4.65,20,25688,28.99%,80.05
20190604~20190626,【新】消毒柜搜索未购0关键词,新标签人群,无线,京东快车(搜索),腰部广告_厨大,烟灶消店铺,12204,582,4.77%,3504.03,287.12,6.02,69,39512,11.86%,11.28
20190604~20190626,【新】消毒柜搜索未购0关键词,新标签人群,PC,京东快车(搜索),100G01_消毒柜_单投,搜索0PC,12159,57,0.47%,200.59,16.5,3.52,3,1897,5.26%,9.46
20190604~20190626,默认浏览人群,京选人群,PC,京东快车(搜索),J18+Q216B0T_烟灶套装_单投,搜索0PC,12126,108,0.89%,540.32,44.56,5,31,29115.28,28.70%,53.89
20190604~20190626,【新】品类7天浏览未购0消毒柜,新标签人群,无线,品牌聚效,6月京选店铺_厨大,京选店铺_厨大,12122,1142,9.42%,3692.56,304.62,3.23,213,204390.4,18.65%,55.35
20190604~20190626,【新】品类7天浏览未购0油烟机,新标签人群,无线,京东快车(搜索),J18_油烟机_单投,搜索0长尾,12078,971,8.04%,4950.61,409.89,5.1,77,73901,7.93%,14.93
20190604~20190626,【新】消毒柜搜索未购0关键词,新标签人群,PC,京东快车(搜索),90Q15_消毒柜_单投,搜索0PC,12057,29,0.24%,87.33,7.24,3.01,2,1798,6.90%,20.59
20190604~20190626,【新】油烟机搜索未购0类目,新标签人群,PC,京东快车(搜索),J18+Q216B0T_烟灶套装_单投,搜索0PC,12023,58,0.48%,245.07,20.38,4.23,5,4447,8.62%,18.15
20190604~20190626,【新】消毒柜搜索未购0类目,新标签人群,PC,京东快车(搜索),100G01_消毒柜_单投,搜索0PC,12005,62,0.52%,218.11,18.17,3.52,3,1897,4.84%,8.7
20190604~20190626,【新】品牌浏览+品类未购0油烟机,新标签人群,无线,京东快车(搜索),J57_油烟机_单投,搜索0长尾,11993,884,7.37%,5801.73,483.76,6.56,63,76796.5,7.13%,13.24
20190604~20190626,【新】品类7天浏览未购0油烟机,新标签人群,PC,京东快车(搜索),T36+Q216B0T_烟灶套装_单投,搜索0PC,11863,56,0.47%,278.15,23.45,4.97,6,4416,10.71%,15.88
20190604~20190626,【新】爆品浏览未购买0烟灶套装,新标签人群,无线,京东快车(搜索),腰部广告_厨大,烟灶消店铺,11843,478,4.04%,2043.55,172.55,4.28,27,22209,5.65%,10.87
20190604~20190626,近30天浏览、关注、加购与所选种子相关的店铺或品牌商品的人群,定向推荐人群,无线,京东快车(搜索),J57+Q390T_烟灶套装_单投,搜索0核心词0无线,11790,1045,8.86%,5583.34,473.57,5.34,250,283366.04,23.92%,50.75
20190604~20190626,【新】消毒柜嵌入式入口Top单品浏览未购,新标签人群,无线,京东快车(搜索),100G01_消毒柜_单投,搜索0无线,11746,626,5.33%,2414.77,205.58,3.86,36,30810,5.75%,12.76
20190604~20190626,【新】消毒柜搜索未购0类目,新标签人群,PC,京东快车(搜索),90Q15_消毒柜_单投,搜索0PC,11702,27,0.23%,82.68,7.07,3.06,12,13104.75,44.44%,158.5
20190604~20190626,【新】美的品牌浏览未购0油烟机,新标签人群,PC,京东快车(搜索),T33P_油烟机_单投,搜索0PC,11700,126,1.08%,498.39,42.6,3.96,13,11447,10.32%,22.97
20190604~20190626,【新】竞品高端品牌浏览未购0油烟机,新标签人群,PC,京东快车(搜索),T33P_油烟机_单投,搜索0PC,11692,104,0.89%,417.53,35.71,4.01,9,9857.67,8.65%,23.61
20190604~20190626,【新】油烟机搜索未购0关键词,新标签人群,PC,京东快车(搜索),J30+Q216B0T_烟灶套装_单投,搜索0PC,11667,233,2.00%,825.02,70.71,3.54,40,36894,17.17%,44.72
20190604~20190626,【新】竞品品牌浏览未购0燃气灶,新标签人群,PC,京东快车(搜索),Q35_燃气灶_单投,搜索0PC,11650,249,2.14%,961.91,82.57,3.86,16,10625,6.43%,11.05
20190604~20190626,【新】油烟机搜索未购0关键词,新标签人群,无线,京东快车(搜索),J57_油烟机_单投,搜索0长尾,11557,774,6.70%,5123.55,443.33,6.62,53,66366.5,6.85%,12.95
20190604~20190626,【新】品类7天浏览未购0油烟机,新标签人群,无线,京东直投,,,11458,70,0.61%,53.68,4.68,0.77,10,10390.5,14.29%,193.56
20190604~20190626,【新】品牌浏览+品类未购0燃气灶,新标签人群,PC,京东快车(搜索),Q39_燃气灶_单投,搜索0PC,11309,186,1.64%,624.57,55.23,3.36,28,16942.1,15.05%,27.13
20190604~20190626,近30天内浏览所选种子商品的人群,定向推荐人群,无线,京东快车(搜索),J57+Q390T_烟灶套装_单投,搜索0核心词0无线,11283,1044,9.25%,5548.98,491.8,5.32,237,260834.04,22.70%,47.01
20190604~20190626,【新】消毒柜搜索未购0类目,新标签人群,无线,品牌聚效,6月京选店铺_厨大,京选店铺_厨大,11142,1120,10.05%,3450.47,309.68,3.08,158,128920,14.11%,37.36
20190604~20190626,【新】油烟机搜索未购0关键词,新标签人群,无线,京东快车(搜索),J18+Q216B0T_烟灶套装_单投,搜索0无线,11087,250,2.25%,1138.97,102.73,4.56,14,13177,5.60%,11.57
20190604~20190626,【新】竞品低端品牌浏览未购0油烟机,新标签人群,PC,京东快车(搜索),T36_油烟机_单投,搜索0PC,11002,74,0.67%,347.02,31.54,4.69,1,1699,1.35%,4.9
20190604~20190626,【新】爆品浏览未购0单烟机,新标签人群,无线,京东快车(搜索),腰部广告_厨大,烟灶消店铺,10974,475,4.33%,2000.38,182.28,4.21,34,27810,7.16%,13.9
20190604~20190626,近30天浏览、关注、加购与所选种子相关的店铺或品牌商品的人群,定向推荐人群,PC,京东快车(搜索),J58+Q390T_烟灶套装_单投,搜索0PC,10948,208,1.90%,938.85,85.76,4.51,112,132503.99,53.85%,141.13
20190604~20190626,【新】品类7天浏览未购0油烟机,新标签人群,无线,京东快车(搜索),J30+Q216B0T_烟灶套装_单投,搜索0品牌词,10922,965,8.84%,3528.5,323.06,3.66,74,59324.22,7.67%,16.81
20190604~20190626,【新】品牌浏览+品类未购0油烟机,新标签人群,PC,京东快车(搜索),J59C+Q390T_烟灶套装_单投,搜索0PC,10891,107,0.98%,436.57,40.09,4.08,8,10814,7.48%,24.77
20190604~20190626,【新】油烟机搜索未购0关键词,新标签人群,无线,京东快车(搜索),J18_油烟机_单投,搜索0长尾,10774,801,7.43%,4200.21,389.85,5.24,49,46238,6.12%,11.01
20190604~20190626,【新】油烟机入口top单品浏览未购,新标签人群,无线,品牌聚效,6月京选店铺_厨大,京选店铺_厨大,10704,860,8.03%,4012.04,374.82,4.67,132,123556,15.35%,30.8
20190604~20190626,【新】品牌浏览+品类未购0油烟机,新标签人群,无线,京东快车(搜索),J18_油烟机_单投,搜索0长尾,10701,926,8.65%,4697.38,438.97,5.07,75,72852,8.10%,15.51
20190604~20190626,【新】竞品品牌浏览未购0消毒柜,新标签人群,PC,京东快车(搜索),100Q33_消毒柜_单投,搜索0PC,10664,309,2.90%,812.83,76.22,2.63,49,49744.08,15.86%,61.2
20190604~20190626,默认浏览人群,京选人群,PC,京东快车(搜索),Q216B_燃气灶_单投,搜索0品牌词,10620,259,2.44%,521.38,49.09,2.01,100,148237.5,38.61%,284.32
20190604~20190626,【新】竞品低端品牌浏览未购0油烟机,新标签人群,PC,京东快车(搜索),J58_油烟机_单投,搜索0PC,10481,44,0.42%,188.98,18.03,4.3,4,5295,9.09%,28.02
20190604~20190626,【新】竞品低端品牌浏览未购0油烟机,新标签人群,PC,京东快车(搜索),J57_油烟机_单投,搜索0PC,10409,169,1.62%,705.93,67.82,4.18,16,21689,9.47%,30.72
20190604~20190626,【新】油烟机搜索未购0关键词,新标签人群,PC,京东快车(搜索),J58+Q390T_烟灶套装_单投,搜索0PC,10402,77,0.74%,396.97,38.16,5.16,8,14994,10.39%,37.77
20190604~20190626,【新】品类7天浏览未购0油烟机,新标签人群,无线,京东快车(搜索),T36+Q216B0T_烟灶套装_单投,搜索0长尾词,10399,881,8.47%,4860.02,467.35,5.52,63,51643,7.15%,10.63
20190604~20190626,【新】燃气灶搜索未购0关键词,新标签人群,无线,品牌聚效,6月京选店铺_厨大,京选店铺_厨大,10291,805,7.82%,2288.01,222.33,2.84,98,73672,12.17%,32.2
20190604~20190626,【新】油烟机搜索未购0关键词,新标签人群,PC,京东快车(搜索),J18+Q216B0T_烟灶套装_单投,搜索0PC,10289,50,0.49%,213.09,20.71,4.26,2,1799,4.00%,8.44
20190604~20190626,【新】燃气灶入口Top单品浏览未购买,新标签人群,无线,品牌聚效,6月京选店铺_厨大,京选店铺_厨大,10255,912,8.89%,2692.72,262.58,2.95,146,122514,16.01%,45.5
20190604~20190626,近30天内浏览所选种子商品的人群,定向推荐人群,PC,京东快车(搜索),J58+Q390T_烟灶套装_单投,搜索0PC,10052,206,2.05%,925.39,92.06,4.49,112,132503.99,54.37%,143.19
20190604~20190626,【新】品牌浏览+品类未购0油烟机,新标签人群,无线,京东快车(搜索),J30+Q216B0T_烟灶套装_单投,搜索0品牌词,10005,897,8.97%,3284.04,328.24,3.66,74,59324.22,8.25%,18.06
20190604~20190626,【新】再营销0油烟机点击未购买,新标签人群,无线,京东快车(搜索),J59C+Q390T_烟灶套装_单投,核心词0无线,9853,1370,13.90%,7746.11,786.17,5.65,103,121367,7.52%,15.67
20190604~20190626,【新】烟灶套装入口top单品浏览未购,新标签人群,PC,京东快车(搜索),T33P_油烟机_单投,搜索0PC,9815,82,0.84%,347.39,35.39,4.24,5,6695,6.10%,19.27
20190604~20190626,【新】品牌浏览+品类未购0油烟机,新标签人群,PC,京东快车(搜索),T36+Q216B0T_烟灶套装_单投,搜索0PC,9754,48,0.49%,240.7,24.68,5.01,6,4416,12.50%,18.35
20190604~20190626,【新】品牌浏览+品类未购0油烟机,新标签人群,无线,京东快车(搜索),T36+Q216B0T_烟灶套装_单投,搜索0长尾词,9678,858,8.87%,4728.37,488.57,5.51,59,49062.5,6.88%,10.38
20190604~20190626,【新】持【家用电器】类优惠券的用户,京选人群,无线,京东快车(搜索),腰部广告_厨大,烟灶消店铺,9613,254,2.64%,1231.72,128.13,4.85,45,33284.58,17.72%,27.02
20190604~20190626,【新】美的品牌浏览未购0消毒柜,新标签人群,无线,京东快车(搜索),腰部广告_厨大,烟灶消店铺,9424,526,5.58%,2222.24,235.81,4.22,72,43239,13.69%,19.46
20190604~20190626,【新】美的品牌浏览未购0燃气灶,新标签人群,PC,京东快车(搜索),Q35_燃气灶_单投,搜索0PC,9384,219,2.33%,819.52,87.33,3.74,29,21764,13.24%,26.56
20190604~20190626,【新】燃气灶入口Top单品浏览未购买,新标签人群,PC,京东快车(搜索),Q39_燃气灶_单投,搜索0PC,9331,173,1.85%,593.03,63.55,3.43,31,21141.1,17.92%,35.65
20190604~20190626,【新】品类7天浏览未购0消毒柜,新标签人群,PC,京东快车(搜索),100G01_消毒柜_单投,搜索0PC,9212,55,0.60%,177.53,19.27,3.23,3,1897,5.45%,10.69
20190604~20190626,【新】美的品牌浏览未购0油烟机,新标签人群,无线,京东快车(搜索),J57_油烟机_单投,搜索0长尾,9052,757,8.36%,4932.74,544.93,6.52,52,62724.5,6.87%,12.72
20190604~20190626,【新】油烟机入口top单品浏览未购,新标签人群,无线,京东快车(搜索),J57_油烟机_单投,搜索0长尾,9022,688,7.63%,4542.04,503.44,6.6,43,49993,6.25%,11.01
20190604~20190626,【新】品类7天浏览未购0消毒柜,新标签人群,无线,京东直投,,,8995,84,0.93%,80.56,8.96,0.96,1,499,1.19%,6.19
20190604~20190626,【新】美的品牌浏览未购0消毒柜,新标签人群,PC,京东快车(搜索),100Q33_消毒柜_单投,搜索0PC,8978,345,3.84%,852.9,95,2.47,84,86943.08,24.35%,101.94
20190604~20190626,【新】品牌浏览+品类未购0消毒柜,新标签人群,无线,品牌聚效,6月京选店铺_厨大,京选店铺_厨大,8889,883,9.93%,2548.55,286.71,2.89,147,120973,16.65%,47.47
20190604~20190626,【新】品类7天浏览未购0消毒柜,新标签人群,PC,京东快车(搜索),90Q15_消毒柜_单投,搜索0PC,8812,29,0.33%,89.88,10.2,3.1,12,13104.75,41.38%,145.8
20190604~20190626,【新】燃气灶搜索未购0类目,新标签人群,PC,京东快车(搜索),Q216B_燃气灶_单投,搜索0品牌词,8604,169,1.96%,328.97,38.23,1.95,26,13389,15.38%,40.7
20190604~20190626,【新】品牌浏览+品类未购0燃气灶,新标签人群,无线,京东快车(搜索),腰部广告_厨大,烟灶消店铺,8441,212,2.51%,997.05,118.12,4.7,13,11739,6.13%,11.77
20190604~20190626,【新】竞品品牌浏览未购0燃气灶,新标签人群,PC,京东快车(搜索),Q39_燃气灶_单投,搜索0PC,8387,152,1.81%,511.5,60.99,3.37,26,18164,17.11%,35.51
20190604~20190626,【新】美的品牌浏览未购0油烟机,新标签人群,无线,京东快车(搜索),J18_油烟机_单投,搜索0长尾,8307,810,9.75%,4076.56,490.74,5.03,64,60426,7.90%,14.82
20190604~20190626,【新】油烟机入口top单品浏览未购,新标签人群,无线,京东快车(搜索),J18_油烟机_单投,搜索0长尾,8269,713,8.62%,3651.36,441.57,5.12,61,62262,8.56%,17.05
20190604~20190626,【新】竞品低端品牌浏览未购0油烟机,新标签人群,PC,京东快车(搜索),T33P_油烟机_单投,搜索0PC,8235,99,1.20%,413.41,50.2,4.18,5,6695,5.05%,16.19
20190604~20190626,【新】再营销0油烟机点击未购买,新标签人群,无线,京东快车(搜索),J18_油烟机_单投,搜索0核心0无线,8212,895,10.90%,3964.92,482.82,4.43,56,48486,6.26%,12.23
20190604~20190626,默认浏览人群,京选人群,无线,京东快车(搜索),秒杀计划,美的（Midea）_消毒柜,8147,830,10.19%,2989.16,366.9,3.6,188,189984.75,22.65%,63.56
20190604~20190626,【新】再营销0油烟机点击未购买,新标签人群,PC,京东快车(搜索),J58+Q390T_烟灶套装_单投,搜索0PC,8008,244,3.05%,1186.31,148.14,4.86,31,52259.5,12.70%,44.05
20190604~20190626,【新】竞品高端品牌浏览未购0油烟机,新标签人群,无线,品牌聚效,6月京选店铺_厨大,京选店铺_厨大,7939,863,10.87%,3119.71,392.96,3.61,87,102227,10.08%,32.77
20190604~20190626,【新】再营销0油烟机点击未购买,新标签人群,无线,京东快车(搜索),J58_油烟机_单投,搜索0核心0无线,7881,950,12.05%,4936.51,626.38,5.2,57,51871,6.00%,10.51
20190604~20190626,【新】品类7天浏览未购0油烟机,新标签人群,PC,京东快车(搜索),T59C+Q390T_烟灶套装_单投,搜索0PC,7868,53,0.67%,247.33,31.43,4.67,11,10363.1,20.75%,41.9
20190604~20190626,近30天浏览、关注、加购过与所选种子相关的三级类目商品的人群,定向推荐人群,PC,京东快车(搜索),T36+Q390T_烟灶套装_单投,搜索0PC,7864,39,0.50%,214.45,27.27,5.5,9,8614,23.08%,40.17
20190604~20190626,【新】消毒柜嵌入式入口Top单品浏览未购,新标签人群,PC,京东快车(搜索),100Q33_消毒柜_单投,搜索0PC,7788,430,5.52%,1087.37,139.62,2.53,88,92038.08,20.47%,84.64
20190604~20190626,【新】品牌浏览+品类未购0消毒柜,新标签人群,PC,京东快车(搜索),100G01_消毒柜_单投,搜索0PC,7704,49,0.64%,157.52,20.45,3.21,3,1897,6.12%,12.04
20190604~20190626,近30天内加购、加关注所选种子商品的人群,定向推荐人群,无线,京东快车(搜索),腰部广告_厨大,烟灶消店铺,7594,366,4.82%,1733.1,228.22,4.74,65,45357.38,17.76%,26.17
20190604~20190626,【新】再营销0油烟机点击未购买,新标签人群,无线,京东快车(搜索),T59C+Q390T_烟灶套装_单投,核心词0无线,7519,780,10.37%,4926.05,655.15,6.32,42,44777.4,5.38%,9.09
20190604~20190626,【新】烟灶加购未购,新标签人群,无线,京东快车(搜索),Q35_燃气灶_单投,搜索0无线,7462,687,9.21%,2385.08,319.63,3.47,51,39309.5,7.42%,16.48
20190604~20190626,【新】品类7天浏览未购0油烟机,新标签人群,PC,京东快车(搜索),T36+Q216B0T_烟灶套装_单投,搜索0长尾词,7411,40,0.54%,258.29,34.85,6.46,1,2399,2.50%,9.29
20190604~20190626,默认购买人群,京选人群,无线,京东快车(搜索),秒杀计划,美的（Midea）_消毒柜,7400,735,9.93%,2652.59,358.46,3.61,183,186809.75,24.90%,70.43
20190604~20190626,【新】品牌浏览+品类未购0消毒柜,新标签人群,PC,京东快车(搜索),90Q15_消毒柜_单投,搜索0PC,7363,23,0.31%,70.47,9.57,3.06,12,13104.75,52.17%,185.96
20190604~20190626,【新】油烟机入口top单品浏览未购,新标签人群,PC,京东快车(搜索),J59C+Q390T_烟灶套装_单投,搜索0PC,7248,78,1.08%,312.26,43.08,4,7,8815,8.97%,28.23
20190604~20190626,【新】再营销0消毒柜点击未购买,新标签人群,无线,京东快车(搜索),100Q33_消毒柜_单投,搜索0无线,7244,1533,21.16%,4836.09,667.6,3.15,204,196584.48,13.31%,40.65
20190604~20190626,近30天浏览、关注、加购过与所选种子相关的三级类目商品的人群,定向推荐人群,PC,京东快车(搜索),J57+Q390T_烟灶套装_单投,搜索0PC,7223,21,0.29%,116.61,16.14,5.55,3,3348,14.29%,28.71
20190604~20190626,【新】美的品牌浏览未购0消毒柜,新标签人群,无线,品牌聚效,6月京选店铺_厨大,京选店铺_厨大,7178,691,9.63%,1973.88,274.99,2.86,131,108192,18.96%,54.81
20190604~20190626,【新】油烟机搜索未购0类目,新标签人群,无线,京东快车(搜索),T33P_油烟机_单投,搜索0长尾,7143,353,4.94%,1771,247.94,5.02,17,16763,4.82%,9.47
20190604~20190626,【新】烟灶加购未购,新标签人群,无线,京东快车(搜索),J18_油烟机_单投,搜索0核心0无线,7094,518,7.30%,2364.14,333.26,4.56,54,43287,10.42%,18.31
20190604~20190626,【新】品类7天浏览未购0油烟机,新标签人群,无线,京东快车(搜索),J58+Q390T_烟灶套装_单投,搜索0长尾词,7044,498,7.07%,3740.79,531.06,7.51,78,120439,15.66%,32.2
20190604~20190626,默认购买人群,京选人群,PC,京东快车(搜索),秒杀计划,美的（Midea）_油烟机,7032,93,1.32%,150.61,21.42,1.62,9,10494,9.68%,69.68
20190604~20190626,【新】再营销0油烟机点击未购买,新标签人群,无线,京东快车(搜索),J57_油烟机_单投,搜索0核心0无线,7017,899,12.81%,4711.33,671.42,5.24,71,76780,7.90%,16.3
20190604~20190626,【新】品牌浏览+品类未购0油烟机,新标签人群,PC,京东快车(搜索),T59C+Q390T_烟灶套装_单投,搜索0PC,6756,50,0.74%,237.44,35.15,4.75,9,8864.1,18.00%,37.33
20190604~20190626,【新】再营销0油烟机点击未购买,新标签人群,无线,京东快车(搜索),T36_油烟机_单投,搜索0核心0无线,6748,607,9.00%,3324.97,492.73,5.48,42,52241,6.92%,15.71
20190604~20190626,默认浏览人群,京选人群,无线,京东快车(搜索),T33P_油烟机_单投,搜索0长尾,6678,406,6.08%,2020.69,302.59,4.98,34,32674,8.37%,16.17
20190604~20190626,【新】再营销0油烟机点击未购买,新标签人群,无线,京东快车(搜索),T33P_油烟机_单投,搜索0核心0无线,6665,569,8.54%,2736.6,410.59,4.81,30,27457,5.27%,10.03
20190604~20190626,默认浏览人群,京选人群,无线,京东快车(搜索),Q216B_燃气灶_单投,搜索0品牌词,6606,1311,19.85%,2877,435.51,2.19,328,256350.05,25.02%,89.1
20190604~20190626,【新】品类7天浏览未购0油烟机,新标签人群,无线,京东快车(搜索),T59C+Q390T_烟灶套装_单投,长尾词,6494,433,6.67%,3092.32,476.18,7.14,25,34986,5.77%,11.31
