时间,人群名称,人群类型,推广设备,产品线,计划,单元,展现数,点击数,点击率,总费用,千次展现成本,平均点击成本,总订单行,总订单金额,转化率,ROI,
20190604~20190626,【新】品类7天浏览未购-燃气灶,新标签人群,无线,京东快车(搜索),Q35_燃气灶_单投,搜索-无线,77230,5626,7.28%,19706.17,255.16,3.50,291,211973.50,5.17%,10.76,
20190604~20190626,【新】油烟机搜索未购-类目,新标签人群,无线,京东快车(搜索),T33P_油烟机_单投,搜索-核心-无线,74660,3836,5.14%,18838.80,252.33,4.91,273,276361.70,7.12%,14.67,
20190604~20190626,【新】油烟机搜索未购-关键词,新标签人群,无线,京东快车(搜索),J18_油烟机_单投,搜索-核心-无线,73269,4139,5.65%,19053.03,260.04,4.60,308,270499.50,7.44%,14.20,
20190604~20190626,默认购买人群,京选人群,无线,品牌聚效,6月京选店铺_厨大,京选店铺_厨大,72905,5621,7.71%,23678.98,324.79,4.21,896,2136751.52,15.94%,90.24,
20190604~20190626,【新】燃气灶搜索未购-类目,新标签人群,PC,京东快车(搜索),Q216B_燃气灶_单投,搜索-PC,72095,891,1.24%,2389.34,33.14,2.68,103,63836.50,11.56%,26.72,
20190604~20190626,默认浏览人群,京选人群,无线,京东快车(搜索),T36+Q39-T_烟灶套装_单投,搜索-核心词-无线,71068,6112,8.60%,59367.95,835.37,9.71,1386,5445550.79,22.68%,91.73,
20190604~20190626,【新】燃气灶搜索未购-关键词,新标签人群,PC,京东快车(搜索),Q216B_燃气灶_单投,搜索-PC,69993,750,1.07%,2033.20,29.05,2.71,89,55393.00,11.87%,27.24,
20190604~20190626,【新】品类7天浏览未购-油烟机,新标签人群,无线,京东快车(搜索),J18_油烟机_单投,搜索-核心-无线,69100,4533,6.56%,20485.12,296.46,4.52,342,299712.50,7.54%,14.63,
20190604~20190626,默认浏览人群,京选人群,无线,京东快车(搜索),T33P_油烟机_单投,搜索-核心-无线,67680,4268,6.31%,20591.33,304.25,4.82,509,533997.84,11.93%,25.93,
20190604~20190626,【新】消毒柜搜索未购-类目,新标签人群,无线,京东快车(搜索),100Q33_消毒柜_单投,搜索-无线,67647,6009,8.88%,19911.78,294.35,3.31,578,526569.16,9.62%,26.45,
20190604~20190626,【新】品牌浏览+品类未购-燃气灶,新标签人群,无线,京东快车(搜索),Q35_燃气灶_单投,搜索-无线,67441,5103,7.57%,17772.36,263.52,3.48,273,197685.00,5.35%,11.12,
20190604~20190626,【新】品牌浏览+品类未购-油烟机,新标签人群,PC,京东快车(搜索),T33P+Q216B-T_烟灶套装_单投,搜索-PC,66915,361,0.54%,1963.35,29.34,5.44,55,54792.00,15.24%,27.91,
20190604~20190626,【新】油烟机搜索未购-关键词,新标签人群,无线,京东快车(搜索),T33P_油烟机_单投,搜索-核心-无线,65955,3413,5.17%,16910.30,256.39,4.95,249,249794.00,7.30%,14.77,
20190604~20190626,【新】品类7天浏览未购-燃气灶,新标签人群,无线,京东快车(搜索),Q216B_燃气灶_单投,搜索-无线,65161,9785,15.02%,29079.41,446.27,2.97,781,435331.12,7.98%,14.97,
20190604~20190626,【新】油烟机搜索未购-类目,新标签人群,无线,京东直投,,,64253,1041,1.62%,823.03,12.81,0.79,13,27257.15,1.25%,33.12,
20190604~20190626,【新】品类7天浏览未购-油烟机,新标签人群,无线,京东快车(搜索),J57+Q39-T_烟灶套装_单投,搜索-核心词-无线,63988,5223,8.16%,32312.03,504.97,6.19,536,662867.50,10.26%,20.51,
20190604~20190626,【新】燃气灶搜索未购-关键词,新标签人群,无线,京东快车(搜索),Q216B_燃气灶_单投,搜索-无线,62889,8241,13.10%,24616.88,391.43,2.99,611,340826.92,7.41%,13.85,
20190604~20190626,【新】消毒柜搜索未购-关键词,新标签人群,无线,京东快车(搜索),100Q33_消毒柜_单投,搜索-无线,60073,5164,8.60%,17165.01,285.74,3.32,481,442401.66,9.31%,25.77,
20190604~20190626,【新】品牌浏览+品类未购-油烟机,新标签人群,无线,京东快车(搜索),J18_油烟机_单投,搜索-核心-无线,59902,4306,7.19%,19356.09,323.13,4.50,325,286092.50,7.55%,14.78,
20190604~20190626,【新】品类7天浏览未购-油烟机,新标签人群,无线,京东直投,,,59216,1216,2.05%,860.40,14.53,0.71,57,97510.21,4.69%,113.33,
20190604~20190626,【新】品类7天浏览未购-油烟机,新标签人群,无线,京东快车(搜索),T33P_油烟机_单投,搜索-核心-无线,58864,3609,6.13%,17539.58,297.97,4.86,270,270238.70,7.48%,15.41,
20190604~20190626,默认购买人群,京选人群,无线,京东快车(搜索),秒杀计划,美的（Midea）_油烟机,58749,4348,7.40%,15714.88,267.49,3.61,611,688147.62,14.05%,43.79,
20190604~20190626,【新】品牌浏览+品类未购-油烟机,新标签人群,无线,京东快车(搜索),J57+Q39-T_烟灶套装_单投,搜索-核心词-无线,58485,4929,8.43%,30572.84,522.75,6.20,514,634842.50,10.43%,20.76,
20190604~20190626,【新】燃气灶入口Top单品浏览未购买,新标签人群,无线,京东快车(搜索),Q35_燃气灶_单投,搜索-无线,57842,4586,7.93%,16251.80,280.97,3.54,259,205547.00,5.65%,12.65,
20190604~20190626,默认浏览人群,京选人群,无线,京东快车(搜索),T36_油烟机_单投,搜索-核心-无线,55884,3627,6.49%,19771.00,353.79,5.45,313,347188.97,8.63%,17.56,
20190604~20190626,【新】品类7天浏览未购-消毒柜,新标签人群,无线,京东快车(搜索),100Q33_消毒柜_单投,搜索-无线,55650,5370,9.65%,17925.03,322.10,3.34,615,568058.66,11.45%,31.69,
20190604~20190626,近30天浏览、关注、加购与所选种子相关的店铺或品牌商品的人群,定向推荐人群,无线,京东快车(搜索),T36+Q39-T_烟灶套装_单投,搜索-核心词-无线,55598,5041,9.07%,48141.93,865.89,9.55,1337,5384789.44,26.52%,111.85,
20190604~20190626,【新】品类7天浏览未购-燃气灶,新标签人群,PC,京东快车(搜索),Q216B_燃气灶_单投,搜索-PC,55569,777,1.40%,2125.85,38.26,2.74,97,64899.50,12.48%,30.53,
20190604~20190626,【新】品牌浏览+品类未购-燃气灶,新标签人群,无线,京东快车(搜索),Q216B_燃气灶_单投,搜索-无线,54790,8884,16.21%,26282.31,479.69,2.96,741,414332.12,8.34%,15.76,
20190604~20190626,【新】燃气灶搜索未购-类目,新标签人群,无线,京东快车(搜索),Q39_燃气灶_单投,搜索-无线,54746,4482,8.19%,18862.41,344.54,4.21,316,241814.90,7.05%,12.82,
20190604~20190626,【新】消毒柜搜索未购-关键词,新标签人群,PC,京东快车(搜索),80K03_消毒柜_单投,搜索-PC,53376,170,0.32%,619.98,11.62,3.65,18,9662.00,10.59%,15.58,
20190604~20190626,618大促类目购买意向人群【消毒柜】,标签人群,无线,京东快车(搜索),腰部广告_厨大,烟灶消店铺,53270,2243,4.21%,10550.61,198.06,4.70,228,144716.50,10.16%,13.72,
