user_nick,crow_name,f_type,f_device,f_product_line,f_campaign,f_group,f_impression,f_click,f_click_rate,cost,ecpm,cpc,order_cnt,order_amt,cvr,roi
midea0bx3,九数618_冰箱_类目_高分_美的品牌倾向_0616,外部导入人群,无线,京东直投,,,19929,341,1.71%,622.86,31.25,1.83,37,100425,10.85%,161.23
midea0bx3,近30天内加购、加关注所选种子商品的人群,定向推荐人群,无线,京东快车(搜索),冰箱0三门0260_冰箱_单投,冰箱0260WTPZM(E),19916,1279,6.42%,3244.63,162.92,2.54,199,446539,15.56%,137.62
midea0bx3,九数618_冰箱_类目_高分_无品牌倾向_0614_新,外部导入人群,无线,京东直投,,,19700,200,1.02%,358.77,18.21,1.79,2,5798,1.00%,16.16
midea0bx3,自定义0空调0格力核心意向,标签人群,无线,京东快车(搜索),冰箱0三门0260_冰箱_单投,冰箱0260WTPZM(E),19632,857,4.37%,2168.14,110.44,2.53,106,229478,12.37%,105.84
midea0bx3,九数618_冰箱_类目_高分_无品牌倾向_0615,外部导入人群,无线,京东直投,,,19607,211,1.08%,375.2,19.14,1.78,0,0,0,0
midea0bx3,自定义0冰箱意向,标签人群,无线,品牌聚效,冰箱日常活动_冰箱,冰箱日常推广0APP BANNER,19574,85,0.43%,984.24,50.28,11.58,2,5997,2.35%,6.09
midea0bx3,【新】冰箱4210九数浏览竞品人群0506,新标签人群,PC,京东快车(搜索),冰箱0多门0421_冰箱_单投,冰箱0421WTPM,19531,338,1.73%,789.66,40.43,2.34,15,39455,4.44%,49.96
midea0bx3,九数_618_冰箱_类目内_高分段_无品牌倾向_0613,外部导入人群,无线,京东直投,,,19499,181,0.93%,332.99,17.08,1.84,3,8397,1.66%,25.22
midea0bx3,九数_20190608_冰箱_618跨品_对照组,外部导入人群,无线,京东快车(搜索),冰箱0十字0448_冰箱_单投,BCD0448WTPZM(E),19464,1151,5.91%,6083.91,312.57,5.29,50,152559,4.34%,25.08
midea0bx3,【新】商用品类浏览偏好,新标签人群,PC,京东快车(搜索),冷柜0230_冷柜/冰吧_单投,冷柜0230GM,19391,170,0.88%,601.87,31.04,3.54,37,105754,21.76%,175.71
midea0bx3,【新】冰箱05000600升TOP50,新标签人群,无线,京东快车(搜索),冰箱0对开门0638_冰箱_单投,冰箱0638WKPZM,19223,1935,10.07%,7401.2,385.02,3.82,90,274393,4.65%,37.07
midea0bx3,【新】店铺商品浏览,新标签人群,PC,京东快车(搜索),冰箱0对开门0452_冰箱_单投,冰箱0452WKPZM,19214,153,0.80%,292.98,15.25,1.91,14,38157,9.15%,130.24
midea0bx3,智能定向人群,智能定向,无线,品牌聚效,冰箱日常活动_冰箱,冰箱日常推广0APP BANNER,19200,83,0.43%,565.37,29.45,6.81,0,0,0,0
midea0bx3,九数_20190608_冰箱_618跨品_干预组,外部导入人群,无线,京东快车(搜索),冰箱0十字0448_冰箱_单投,BCD0448WTPZM(E),19118,1088,5.69%,5791.61,302.94,5.32,38,113058,3.49%,19.52
midea0bx3,自定义0空调0TCL核心意向,标签人群,无线,京东快车(搜索),冰箱0十字0468P_冰箱_单投,冰箱0468WTPM,19039,1317,6.92%,3983.21,209.21,3.02,475,1300042,36.07%,326.38
midea0bx3,【新】秒杀商品偏好,新标签人群,无线,京东快车(搜索),冰箱0多门0426_冰箱_单投,冰箱0426WTPM,18890,994,5.26%,2999.19,158.77,3.02,29,88733,2.92%,29.59
midea0bx3,九数618_冰箱_类目_高分_无品牌倾向_0615,外部导入人群,无线,品牌聚效,冰箱投放测试_九数,冰箱测试_品类意向_九数0无品牌倾向,18690,79,0.42%,1459.85,78.11,18.48,2,5898,2.53%,4.04
midea0bx3,搜索0美的,标签人群,PC,京东快车(搜索),冰箱0多门0426_冰箱_单投,冰箱0426WTPM,18566,56,0.30%,141.56,7.62,2.53,0,0,0,0
midea0bx3,九数_20190607_冰箱_618跨品_对照组,外部导入人群,无线,京东快车(搜索),冰箱0十字0448_冰箱_单投,BCD0448WTPZM(E),18284,1073,5.87%,5549.73,303.53,5.17,43,126795,4.01%,22.85
midea0bx3,【新】冰箱0三门TOP浏览未购买,新标签人群,PC,京东快车(搜索),冰箱0三门0228P_冰箱_单投,冰箱0228WTPZM,18264,260,1.42%,697.53,38.19,2.68,37,69774,14.23%,100.03
midea0bx3,九数_618_冰箱_类目内_高分段_无品牌倾向_0608,外部导入人群,无线,京东快车(搜索),冰箱0多门0318_冰箱_单投,冰箱0318WTPZM,18204,1903,10.45%,5788.09,317.96,3.04,134,346969,7.04%,59.95
midea0bx3,九数_20190607_冰箱_618跨品_干预组,外部导入人群,无线,京东快车(搜索),冰箱0十字0448_冰箱_单投,BCD0448WTPZM(E),18043,1035,5.74%,5393.62,298.93,5.21,33,95704,3.19%,17.74
midea0bx3,自定义0洗衣机0西门子核心意向,标签人群,无线,京东快车(搜索),冰箱0多门0426_冰箱_单投,冰箱0426WTPM,17956,1350,7.52%,4112.39,229.03,3.05,46,182361,3.41%,44.34
midea0bx3,【新】冰箱0竞品词搜索,新标签人群,无线,品牌聚效,京选店铺_冰箱,日常0京选店铺,17832,1032,5.79%,4115.3,230.78,3.99,142,314301,13.76%,76.37
midea0bx3,【新】冰箱0竞品词搜索,新标签人群,PC,京东快车(搜索),冰箱0十字0448_冰箱_单投,BCD0448WTPZM(E),17737,78,0.44%,190.87,10.76,2.45,2,4698,2.56%,24.61
midea0bx3,电热水器0海尔核心意向,标签人群,无线,京东快车(搜索),冰箱0多门0426_冰箱_单投,冰箱0426WTPM,17349,909,5.24%,3191.48,183.96,3.51,162,621258,17.82%,194.66
midea0bx3,【新】冰箱04000500升TOP50,新标签人群,无线,京东快车(搜索),冰箱0对开门0531_冰箱_单投,冰箱0531WTPZM,17227,781,4.53%,2920.71,169.54,3.74,35,104155,4.48%,35.66
midea0bx3,自定义0空调0格力核心意向,标签人群,PC,京东快车(搜索),冰箱0多门0426_冰箱_单投,冰箱0426WTPM,17111,55,0.32%,173.39,10.13,3.15,2,9398,3.64%,54.2
midea0bx3,【新】DMP030天跨品类拉新,新标签人群,PC,京东快车(搜索),冰箱0十字0448_冰箱_单投,BCD0448WTPZM(E),16951,164,0.97%,644.78,38.04,3.93,8,21292,4.88%,33.02
midea0bx3,九数_618_冰箱_类目内_高分段_无品牌倾向_0606,外部导入人群,无线,京东快车(搜索),冰箱0十字0448_冰箱_单投,BCD0448WTPZM(E),16935,974,5.75%,4095.07,241.81,4.2,21,65032,2.16%,15.88
