user_nick,人群名称,人群类型,推广设备,产品线,计划,单元,展现数,点击数,点击率,总费用,千次展现成本,平均点击成本,总订单行,总订单金额,转化率,ROI
LittleSwan-Washer,近30天内浏览所选种子商品的人群,定向推荐人群,无线,京东快车(搜索),【新品】TD100V62WIAD5_小天鹅洗衣机_单投,搜索-无线,33483,2557,7.64%,6652.92,198.7,2.6,257,804086,10.05%,120.86
LittleSwan-Washer,冰箱核心人群（美海美菱容声西门子）,标签人群,无线,京东快车(搜索),【A++】TD100V80WDX_小天鹅洗衣机_单投,搜索-无线,33396,3808,11.40%,12947.71,387.7,3.4,642,1641274.17,16.86%,126.76
LittleSwan-Washer,冰箱意向人群（康佳TCL奥玛三星海信）,标签人群,无线,京东直投,,,32593,227,0.70%,119.57,3.67,0.53,-,-,-,-
LittleSwan-Washer,【新】近30天浏览加购空调未购洗衣机,新标签人群,无线,品牌聚效,跨品类【618临时】,跨品类核心人群,32366,92,0.28%,2246.46,69.41,24.42,1,1999,1.09%,0.89
LittleSwan-Washer,【新】近30天已购冰箱未购洗衣机,新标签人群,无线,品牌聚效,跨品类【618临时】,跨品类核心人群,32345,73,0.23%,2712.85,83.87,37.16,-,-,-,-
LittleSwan-Washer,热水器核心人群（美的海尔林内）,标签人群,无线,京东快车(搜索),【A+++】TG100V86WMDY5_小天鹅洗衣机_单投,搜索-无线,32322,3594,11.12%,13618.81,421.35,3.79,898,2550416,24.99%,187.27
LittleSwan-Washer,冰箱意向人群（美海美菱容声西门子）,标签人群,无线,京东快车(搜索),【A++++】TG80V20DG5_小天鹅洗衣机_单投,搜索无线,32242,4750,14.73%,11194.37,347.2,2.36,2606,7695343,54.86%,687.43
LittleSwan-Washer,冰箱核心人群（美海美菱容声西门子）,标签人群,无线,京东快车(搜索),【A++】TB100V60_小天鹅洗衣机_单投,TB100V60搜索无线,32073,1731,5.40%,5227.27,162.98,3.02,460,1081012.56,26.57%,206.8
LittleSwan-Washer,【新】洗衣机top200浏览加购未购,新标签人群,无线,品牌聚效,竞品【618临时】,竞品,31879,290,0.91%,4768.4,149.58,16.44,10,19540,3.45%,4.1
LittleSwan-Washer,智能定向人群-视觉定向,智能定向,无线,京东直投,,,31743,190,0.60%,75.96,2.39,0.4,-,-,-,-
LittleSwan-Washer,洗衣机品牌人群（统帅TCL海信志高威力）,标签人群,无线,京东快车(搜索),【A++++】TG80V20DG5_小天鹅洗衣机_单投,搜索无线,31506,3523,11.18%,8509.53,270.09,2.42,1518,4452018,43.09%,523.18
LittleSwan-Washer,洗衣机品牌人群（统帅TCL海信志高威力）,标签人群,无线,京东快车(搜索),【A+++】TD100V81WDG_小天鹅洗衣机_单投,搜索-无线,31430,2964,9.43%,10251.89,326.18,3.46,559,1445316,18.86%,140.98
LittleSwan-Washer,自定义-行业8公斤波轮,标签人群,无线,京东快车(搜索),【A+】TB90V88WDCLG_小天鹅洗衣机_单投,搜索无线,31215,2039,6.53%,7776.85,249.14,3.81,249,493279.5,12.21%,63.43
LittleSwan-Washer,洗衣机意向人群（三洋LG统帅博世创维）,标签人群,无线,京东快车(搜索),【A+++】TD100V81WDG_小天鹅洗衣机_单投,搜索-无线,31086,3412,10.98%,11811.49,379.96,3.46,528,1361751,15.47%,115.29
LittleSwan-Washer,自定义-9公斤滚筒前top-SKU不拓展30天,标签人群,无线,京东快车(搜索),【A+++】TG100V86WMDY5_小天鹅洗衣机_单投,搜索-无线,30538,4306,14.10%,16681.56,546.26,3.87,621,1870006.25,14.42%,112.1
LittleSwan-Washer,京准通再营销人群-快车+聚效,标签人群,无线,京东快车(搜索),【A++】TB80V80WDCLG_小天鹅洗衣机_单投,搜索无线,29845,4188,14.03%,11577.1,387.91,2.76,863,1847918,20.61%,159.62
LittleSwan-Washer,空调核心人群（格力美的海尔奥克斯TCL）,标签人群,无线,京东快车(搜索),【A++】TD100V80WDX_小天鹅洗衣机_单投,搜索-无线,29770,2872,9.65%,9658.32,324.43,3.36,543,1357786,18.91%,140.58
LittleSwan-Washer,冰箱核心人群（美海美菱容声西门子）,标签人群,无线,京东快车(搜索),【A++】TB80V80WDCLG_小天鹅洗衣机_单投,搜索无线,28781,2594,9.01%,7356.11,255.59,2.84,811,1837620,31.26%,249.81
LittleSwan-Washer,洗衣机意向人群（三洋LG统帅博世创维）,标签人群,无线,京东快车(搜索),【A++】TB100V80WDCLG_小天鹅洗衣机_单投,搜索无线,28476,1663,5.84%,5127.64,180.07,3.08,334,729387,20.08%,142.25
LittleSwan-Washer,空调核心人群（格力美的海尔奥克斯TCL）,标签人群,无线,京东快车(搜索),【A++++】TG80V20DG5_小天鹅洗衣机_单投,搜索无线,28246,4190,14.83%,9785.5,346.44,2.34,2558,7611861,61.05%,777.87
LittleSwan-Washer,电视核心人群（海信小米长虹酷开飞利浦）,标签人群,无线,京东快车(搜索),【A+++】TD100V81WDG_小天鹅洗衣机_单投,搜索-无线,27994,3659,13.07%,12356.07,441.38,3.38,896,2362367,24.49%,191.19
LittleSwan-Washer,洗衣机意向人群（海尔西门子TCL松下海信,标签人群,无线,京东快车(搜索),【B】TB90V60WD_小天鹅洗衣机_单投,TB90V60WD搜索无线,27938,1777,6.36%,3382.58,121.07,1.9,290,427864,16.32%,126.49
LittleSwan-Washer,洗衣机意向人群（三洋LG统帅博世创维）,标签人群,无线,京东直投,,,27851,739,2.65%,310.08,11.13,0.42,-,-,-,-
LittleSwan-Washer,洗衣机意向人群（海尔西门子TCL松下海信,标签人群,无线,京东直投,,,27574,374,1.36%,195.21,7.08,0.52,-,-,-,-
LittleSwan-Washer,【新】DMP-场景-家装,新标签人群,无线,京东快车(搜索),【A+++】TG100V62ADS5_小天鹅洗衣机_单投,搜索无线,27519,3143,11.42%,11598.03,421.46,3.69,279,579373.2,8.88%,49.95
LittleSwan-Washer,自定义-西门子10公斤滚筒,标签人群,无线,京东快车(搜索),【A+++】TG100V86WMDY5_小天鹅洗衣机_单投,搜索-无线,27179,4285,15.77%,16551,608.96,3.86,551,1709126.42,12.86%,103.26
LittleSwan-Washer,九数_618_波轮_类目内_高分段_美的品牌倾向_0609,外部导入人群,无线,品牌聚效,12月份计划_小天鹅洗衣机,无线首焦-品牌人群,27100,60,0.22%,1885.42,69.57,31.42,1,699,1.67%,0.37
LittleSwan-Washer,冰箱意向人群（康佳TCL奥玛三星海信）,标签人群,无线,京东快车(搜索),【A+++】TG100V86WMDY5_小天鹅洗衣机_单投,搜索-无线,26639,2868,10.77%,11149.05,418.52,3.89,664,1885666,23.15%,169.13
LittleSwan-Washer,洗衣机意向人群（海尔西门子TCL松下海信,标签人群,无线,京东快车(搜索),【A++】TB100V60_小天鹅洗衣机_单投,TB100V60搜索PC,26373,1676,6.35%,4537.46,172.05,2.71,447,896425.4,26.67%,197.56
LittleSwan-Washer,冰箱核心人群（美海美菱容声西门子）,标签人群,无线,京东快车(搜索),【A++++】TG80V20DG5_小天鹅洗衣机_单投,搜索无线,26240,3978,15.16%,9307.39,354.7,2.34,2526,7564619,63.50%,812.75
LittleSwan-Washer,洗衣机品牌人群（统帅TCL海信志高威力）,标签人群,无线,京东快车(搜索),【A++】TD100V80WDX_小天鹅洗衣机_单投,搜索-无线,26140,2271,8.69%,7672.34,293.51,3.38,331,777674,14.58%,101.36
LittleSwan-Washer,洗衣机意向人群（三洋LG统帅博世创维）,标签人群,无线,京东快车(搜索),【A++】TD100V80WDX_小天鹅洗衣机_单投,搜索-无线,26104,2781,10.65%,9409.32,360.46,3.38,366,884063,13.16%,93.96
