user_nick,人群名称,人群类型,推广设备,产品线,计划,单元,展现数,点击数,点击率,总费用,千次展现成本,平均点击成本,总订单行,总订单金额,转化率,ROI
美的厨房电器1,近30天内加购、加关注所选种子商品的人群,定向推荐人群,PC,京东快车(搜索),V1_洗碗机_单投,搜索-核心,1421,7,0.49%,31.19,21.95,4.46,5,11395,71.43%,365.34
美的厨房电器1,【新】浏览/加购未购买-洗碗机,新标签人群,无线,京东快车(搜索),D2_洗碗机_单投,搜索-核心,1408,70,4.97%,435.56,309.35,6.22,2,4498,2.86%,10.33
美的厨房电器1,【新】关注洗碗机未购买,新标签人群,无线,品牌聚效,京选店铺_洗碗机,洗碗机店铺,1381,214,15.50%,532.5,385.59,2.49,16,42912,7.48%,80.59
美的厨房电器1,【新】加购洗碗机未购买,新标签人群,PC,京东快车(搜索),D2_洗碗机_单投,搜索-核心,1355,1,0.07%,1.77,1.31,1.77,-,-,-,-
美的厨房电器1,【新】加购洗碗机竞品未购买,新标签人群,无线,京东快车(搜索),K2_洗碗机_单投,搜索-核心,1346,152,11.29%,665.33,494.3,4.38,10,30790,6.58%,46.28
美的厨房电器1,【新】加购洗碗机竞品未购买,新标签人群,无线,京东快车(搜索),J1_洗碗机_单投,搜索-核心,1333,137,10.28%,550.12,412.69,4.02,4,11996,2.92%,21.81
美的厨房电器1,【新】洗碗机搜索偏好,新标签人群,无线,京东快车(搜索),D2_洗碗机_单投,搜索-核心,1317,58,4.40%,276.95,210.29,4.78,2,4498,3.45%,16.24
美的厨房电器1,【新】浏览洗碗机未购买,新标签人群,无线,京东快车(搜索),D2_洗碗机_单投,搜索-核心,1283,66,5.14%,408.41,318.32,6.19,2,4498,3.03%,11.01
美的厨房电器1,【新】购买厨卫未购买洗碗机,新标签人群,PC,京东快车(搜索),K2_洗碗机_单投,搜索-核心,1213,51,4.20%,201.45,166.08,3.95,3,8897,5.88%,44.16
美的厨房电器1,【新】购买厨卫未购买洗碗机,新标签人群,无线,京东快车(搜索),Q1_洗碗机_单投,搜索-核心,1143,136,11.90%,857.69,750.38,6.31,7,13793,5.15%,16.08
美的厨房电器1,【新】加购洗碗机未购买,新标签人群,无线,京东快车(搜索),洗碗机_店铺,店铺_洗碗机,1069,39,3.65%,83.28,77.9,2.14,1,999,2.56%,12
美的厨房电器1,【新】加购洗碗机未购买,新标签人群,无线,京东快车(搜索),Q7_洗碗机_单投,搜索-核心,986,122,12.37%,654.77,664.07,5.37,25,65075,20.49%,99.39
美的厨房电器1,【新】购买厨卫未购买洗碗机,新标签人群,PC,京东快车(搜索),J1_洗碗机_单投,搜索-核心,979,6,0.61%,14.86,15.18,2.48,-,-,-,-
美的厨房电器1,【新】加购洗碗机未购买,新标签人群,无线,京东快车(搜索),Q1_洗碗机_单投,搜索-核心,889,69,7.76%,503.45,566.31,7.3,8,11792,11.59%,23.42
美的厨房电器1,【新】加购洗碗机竞品未购买,新标签人群,PC,京东快车(搜索),D2_洗碗机_单投,搜索-核心,873,-,-,-,-,-,-,-,-,-
美的厨房电器1,【新】家装未浏览洗消,新标签人群,无线,京东快车(搜索),K2_洗碗机_单投,搜索-核心,839,116,13.83%,426.07,507.83,3.67,-,-,-,-
美的厨房电器1,【新】购买厨卫未购买洗碗机,新标签人群,PC,京东快车(搜索),Q7_洗碗机_单投,搜索-核心,835,19,2.28%,79.34,95.02,4.18,1,2899,5.26%,36.54
美的厨房电器1,【新】搜索/促销敏感未购买-洗碗机,新标签人群,无线,京东快车(搜索),D2_洗碗机_单投,搜索-核心,814,41,5.04%,196.66,241.6,4.8,2,4498,4.88%,22.87
美的厨房电器1,【新】购买厨卫未购买洗碗机,新标签人群,PC,京东快车(搜索),Q1_洗碗机_单投,搜索-核心,769,3,0.39%,15.26,19.84,5.09,1,1399,33.33%,91.68
美的厨房电器1,【新】加购洗碗机竞品未购买,新标签人群,无线,京东快车(搜索),Q7_洗碗机_单投,搜索-核心,712,91,12.78%,479.82,673.9,5.27,19,45281,20.88%,94.37
美的厨房电器1,【新】浏览洗碗机竞品未购买,新标签人群,无线,京东快车(搜索),D2_洗碗机_单投,搜索-核心,712,33,4.63%,207.6,291.57,6.29,2,4498,6.06%,21.67
美的厨房电器1,【新】加购洗碗机未购买,新标签人群,PC,京东快车(搜索),K2_洗碗机_单投,搜索-核心,709,28,3.95%,121.23,170.99,4.33,6,16694,21.43%,137.71
